date,time,temp,flux,speed,direction
17-10-24,615,24,6,2,36
17-10-24,630,24,40,3,37
17-10-24,645,24,79,3,40
17-10-24,700,25,107,3,47
17-10-24,715,25,162,4,52
17-10-24,730,25,189,4,51
17-10-24,745,26,250,4,55
17-10-24,800,26,320,5,55
17-10-24,815,27,418,5,56
17-10-24,830,28,466,5,56
17-10-24,845,28,483,5,58
17-10-24,900,28,577,6,60
17-10-24,915,29,619,6,62
17-10-24,930,29,593,6,64
17-10-24,945,29,658,6,61
17-10-24,1000,29,743,6,61
17-10-24,1015,30,734,6,66
17-10-24,1030,29,431,6,65
17-10-24,1045,30,841,6,66
17-10-24,1100,30,854,6,60
17-10-24,1115,30,478,5,65
17-10-24,1130,29,239,5,78
17-10-24,1145,31,911,5,64
17-10-24,1200,31,814,6,60
17-10-24,1215,31,912,5,58
17-10-24,1230,28,126,7,98
17-10-24,1245,29,669,5,81
17-10-24,1300,31,706,6,82
17-10-24,1315,31,644,7,98
17-10-24,1330,30,712,6,104
17-10-24,1345,31,659,5,97
17-10-24,1400,30,633,6,105
17-10-24,1415,31,667,6,107
17-10-24,1430,31,625,5,108
17-10-24,1445,30,533,5,110
17-10-24,1500,30,510,6,112
17-10-24,1515,30,511,6,110
17-10-24,1530,30,496,6,113
17-10-24,1545,30,436,6,116
17-10-24,1600,30,382,6,117
17-10-24,1615,30,321,6,115
17-10-24,1630,29,265,6,118
17-10-24,1645,29,205,5,117
17-10-24,1700,29,147,5,115
17-10-24,1715,28,90,5,113
17-10-24,1730,28,38,4,113
17-10-24,1745,27,1,3,110
18-10-24,615,23,6,1,41
18-10-24,630,24,48,1,44
18-10-24,645,24,83,1,51
18-10-24,700,25,127,2,59
18-10-24,715,25,156,2,58
18-10-24,730,25,214,1,59
18-10-24,745,26,272,2,59
18-10-24,800,26,325,2,63
18-10-24,815,27,356,2,67
18-10-24,830,27,355,2,69
18-10-24,845,27,390,2,73
18-10-24,900,28,612,2,79
18-10-24,915,28,516,2,82
18-10-24,930,28,506,2,84
18-10-24,945,29,464,2,84
18-10-24,1000,29,542,2,84
18-10-24,1015,29,816,2,73
18-10-24,1030,30,844,2,62
18-10-24,1045,30,775,3,64
18-10-24,1100,30,751,2,82
18-10-24,1115,28,187,3,139
18-10-24,1130,26,81,4,173
18-10-24,1145,27,114,3,180
18-10-24,1200,28,412,2,127
18-10-24,1215,30,901,4,108
18-10-24,1230,30,880,4,101
18-10-24,1245,30,871,4,98
18-10-24,1300,30,855,4,111
18-10-24,1315,30,854,4,121
18-10-24,1330,30,814,4,122
18-10-24,1345,31,751,4,121
18-10-24,1400,31,695,4,112
18-10-24,1415,30,670,4,123
18-10-24,1430,31,620,4,124
18-10-24,1445,30,525,4,125
18-10-24,1500,30,482,5,124
18-10-24,1515,30,444,5,121
18-10-24,1530,30,347,5,122
18-10-24,1545,30,288,5,128
18-10-24,1600,30,248,5,128
18-10-24,1615,29,194,5,127
18-10-24,1630,29,150,4,128
18-10-24,1645,29,106,4,132
18-10-24,1700,28,96,4,131
18-10-24,1715,28,52,3,130
18-10-24,1730,27,23,3,131
18-10-24,1745,27,0,3,131
