date,time,temp,flux,speed,direction
17-10-24,615,24,6,2,36
17-10-24,630,24,40,3,37
17-10-24,645,24,79,3,40
17-10-24,700,25,107,3,47
17-10-24,715,25,162,4,52
17-10-24,730,25,189,4,51
17-10-24,745,26,250,4,55
17-10-24,800,26,320,5,55
17-10-24,815,27,418,5,56
17-10-24,830,28,466,5,56
17-10-24,845,28,483,5,58
17-10-24,900,28,577,6,60
17-10-24,915,29,619,6,62
17-10-24,930,29,593,6,64
17-10-24,945,29,658,6,61
17-10-24,1000,29,743,6,61
17-10-24,1015,30,734,6,66
17-10-24,1030,29,431,6,65
17-10-24,1045,30,841,6,66
17-10-24,1100,30,854,6,60
17-10-24,1115,30,478,5,65
17-10-24,1130,29,239,5,78
17-10-24,1145,31,911,5,64
17-10-24,1200,31,814,6,60
17-10-24,1215,31,912,5,58
17-10-24,1230,28,126,7,98
17-10-24,1245,29,669,5,81
17-10-24,1300,31,706,6,82
17-10-24,1315,31,644,7,98
17-10-24,1330,30,712,6,104
17-10-24,1345,31,659,5,97
17-10-24,1400,30,633,6,105
17-10-24,1415,31,667,6,107
17-10-24,1430,31,625,5,108
17-10-24,1445,30,533,5,110
17-10-24,1500,30,510,6,112
17-10-24,1515,30,511,6,110
17-10-24,1530,30,496,6,113
17-10-24,1545,30,436,6,116
17-10-24,1600,30,382,6,117
17-10-24,1615,30,321,6,115
17-10-24,1630,29,265,6,118
17-10-24,1645,29,205,5,117
17-10-24,1700,29,147,5,115
17-10-24,1715,28,90,5,113
17-10-24,1730,28,38,4,113
17-10-24,1745,27,1,3,110
18-10-24,615,23,6,1,41
18-10-24,630,24,48,1,44
18-10-24,645,24,83,1,51
18-10-24,700,25,127,2,59
18-10-24,715,25,156,2,58
18-10-24,730,25,214,1,59
18-10-24,745,26,272,2,59
18-10-24,800,26,325,2,63
18-10-24,815,27,356,2,67
18-10-24,830,27,355,2,69
18-10-24,845,27,390,2,73
18-10-24,900,28,612,2,79
18-10-24,915,28,516,2,82
18-10-24,930,28,506,2,84
18-10-24,945,29,464,2,84
18-10-24,1000,29,542,2,84
18-10-24,1015,29,816,2,73
18-10-24,1030,30,844,2,62
18-10-24,1045,30,775,3,64
18-10-24,1100,30,751,2,82
18-10-24,1115,28,187,3,139
18-10-24,1130,26,81,4,173
18-10-24,1145,27,114,3,180
18-10-24,1200,28,412,2,127
18-10-24,1215,30,901,4,108
18-10-24,1230,30,880,4,101
18-10-24,1245,30,871,4,98
18-10-24,1300,30,855,4,111
18-10-24,1315,30,854,4,121
18-10-24,1330,30,814,4,122
18-10-24,1345,31,751,4,121
18-10-24,1400,31,695,4,112
18-10-24,1415,30,670,4,123
18-10-24,1430,31,620,4,124
18-10-24,1445,30,525,4,125
18-10-24,1500,30,482,5,124
18-10-24,1515,30,444,5,121
18-10-24,1530,30,347,5,122
18-10-24,1545,30,288,5,128
18-10-24,1600,30,248,5,128
18-10-24,1615,29,194,5,127
18-10-24,1630,29,150,4,128
18-10-24,1645,29,106,4,132
18-10-24,1700,28,96,4,131
18-10-24,1715,28,52,3,130
18-10-24,1730,27,23,3,131
18-10-24,1745,27,0,3,131
19-10-24,615,23,6,1,19
19-10-24,630,24,45,1,22
19-10-24,645,24,98,1,17
19-10-24,700,25,158,1,24
19-10-24,715,25,217,1,21
19-10-24,730,26,275,1,31
19-10-24,745,26,331,1,48
19-10-24,800,27,395,1,54
19-10-24,815,27,440,1,69
19-10-24,830,28,507,1,78
19-10-24,845,28,560,2,88
19-10-24,900,28,610,2,85
19-10-24,915,29,558,2,82
19-10-24,930,29,550,2,90
19-10-24,945,29,632,2,91
19-10-24,1000,29,537,2,91
19-10-24,1015,29,510,2,89
19-10-24,1030,29,454,2,90
19-10-24,1045,30,490,2,83
19-10-24,1100,30,547,2,84
19-10-24,1115,30,875,2,85
19-10-24,1130,31,911,2,85
19-10-24,1145,31,906,2,86
19-10-24,1200,31,900,3,73
19-10-24,1215,31,896,2,53
19-10-24,1230,31,832,2,46
19-10-24,1245,31,735,3,64
19-10-24,1300,30,562,4,135
19-10-24,1315,30,576,4,155
19-10-24,1330,30,581,3,144
19-10-24,1345,30,549,3,112
19-10-24,1400,29,141,3,132
19-10-24,1415,30,264,2,132
19-10-24,1430,31,433,2,120
19-10-24,1445,31,327,3,125
19-10-24,1500,30,242,4,118
19-10-24,1515,30,201,4,112
19-10-24,1530,29,143,4,95
19-10-24,1545,29,180,4,101
19-10-24,1600,29,180,3,105
19-10-24,1615,29,138,4,120
19-10-24,1630,29,91,4,114
19-10-24,1645,29,97,4,106
19-10-24,1700,29,73,3,100
19-10-24,1715,29,55,3,102
19-10-24,1730,28,26,2,111
19-10-24,1745,27,0,2,119
20-10-24,615,23,6,0,61
20-10-24,630,24,45,0,75
20-10-24,645,24,91,0,63
20-10-24,700,25,144,0,51
20-10-24,715,25,191,1,53
20-10-24,730,25,247,1,40
20-10-24,745,26,324,1,45
20-10-24,800,26,378,1,47
20-10-24,815,27,432,1,54
20-10-24,830,27,485,1,55
20-10-24,845,28,536,1,71
20-10-24,900,28,583,1,66
20-10-24,915,28,527,1,76
20-10-24,930,29,579,1,75
20-10-24,945,29,556,1,73
20-10-24,1000,29,484,1,75
20-10-24,1015,29,442,1,80
20-10-24,1030,29,464,2,83
20-10-24,1045,29,482,1,78
20-10-24,1100,29,474,1,70
20-10-24,1115,29,401,1,63
20-10-24,1130,29,338,1,70
20-10-24,1145,29,246,1,87
20-10-24,1200,29,565,1,90
20-10-24,1215,30,858,0,51
20-10-24,1230,30,876,1,5
20-10-24,1245,31,843,1,20
20-10-24,1300,31,791,2,39
20-10-24,1315,31,514,2,60
20-10-24,1330,30,534,3,74
20-10-24,1345,30,597,4,58
20-10-24,1400,31,573,2,58
20-10-24,1415,31,653,2,88
20-10-24,1430,31,607,2,89
20-10-24,1445,31,542,3,83
20-10-24,1500,31,464,3,76
20-10-24,1515,31,425,3,82
20-10-24,1530,31,403,3,90
20-10-24,1545,31,400,3,109
20-10-24,1600,31,362,3,118
20-10-24,1615,30,318,3,117
20-10-24,1630,30,244,3,115
20-10-24,1645,30,184,4,110
20-10-24,1700,30,110,4,110
20-10-24,1715,29,62,3,114
20-10-24,1730,29,33,3,120
20-10-24,1745,28,0,3,123
